# Int_pr, E_atm_pr, Intstor_pr, R_pr_meas, R_pr_swds, R_pr_mss, R_pr_up, Intcp_cp, E_atm_cp, Intstor_cp, R_cp_meas, R_cp_swds, R_cp_mss, R_cp_up, Intcp_op, E_atm_op, Intstor_op, P_op_gw, R_op_meas, R_op_swds, R_op_mss, R_op_up, Sum_r_up, Init_stor_up, Act_infilcap_up, Tfac_up, E_atm_up, I_up_uz, Fin_stor_up, R_up_meas, R_up_ow, Sum_i_uz, R_meas_uz, Theta_h3_uz, T_alpha_uz, T_atm_uz, Gwl_up_uz, Gwl_low_uz, Theta_eq_uz, Capris_max_uz, P_uz_gw, Theta_uz, Sum_p_gw, R_meas_gw, Sc_gw, H_gw, S_gw_out, D_gw_ow, Gwl, Gwl_sl, Sum_r_swds, R_meas_swds, Sum_r_mss, R_meas_mss, Q_swds_ow, Q_mss_out, Q_mss_ow, So_swds, So_mss, Stor_swds, Stor_mss, Prec_ow, E_atm_ow, Sum_r_ow, Sum_d_ow, Sum_q_ow, Sum_so_ow, R_meas_ow, Q_ow_out, Owl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.917145,1.527743014,-0.063655959,193.4416733,-0.053607076,0,0.206653054,1.506729602,0.041666667,-0.05413599,1.506729602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.46888987,0,0,0,-0.051453709,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.9115711,1.527338908,-0.063639121,193.2841453,-0.053592896,0,0.20667296,1.506928246,0.041666667,-0.054205258,1.506928246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.470769327,0,0,0,-0.051510093,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.9060091,1.526935661,-0.063622319,193.1266004,-0.053578747,0,0.206692825,1.507126468,0.041666667,-0.054274378,1.507126468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.472644792,0,0,0,-0.051566357,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.9004589,1.526533271,-0.063605553,192.9690388,-0.053564627,0,0.206712647,1.507324268,0.041666667,-0.054343352,1.507324268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.474516273,0,0,0,-0.051622501,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.8949205,1.526131735,-0.063588822,192.8114605,-0.053550538,0,0.206732427,1.507521649,0.041666667,-0.054412179,1.507521649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.476383781,0,0,0,-0.051678526,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.8893938,1.525731052,-0.063572127,192.6538654,-0.053536478,0,0.206752165,1.507718611,0.041666667,-0.05448086,1.507718611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.478247323,0,0,0,-0.051734433,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.8838789,1.525331219,-0.063555467,192.4962537,-0.053522448,0,0.206771861,1.507915155,0.041666667,-0.054549395,1.507915155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.480106909,0,0,0,-0.05179022,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.8783757,1.524932235,-0.063538843,192.3386254,-0.053508448,0,0.206791515,1.508111282,0.041666667,-0.054617784,1.508111282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.481962549,0,0,0,-0.051845889,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0.044233434,1.5,1.6,193.8728841,1.524534098,-0.063522254,192.3579142,-0.053494478,0,0.206811128,1.508306992,0.041666667,-0.054686029,1.508306992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049246753,0,-1.483814251,0,0,0,-0.04599183,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8674042,1.524136806,-0.0635057,192.4214199,-0.053480537,0,0.206830699,1.508502288,0.041666667,-0.054754129,1.508502288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.485662025,0,0,0,-0.044569861,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.8619359,1.523740356,-0.063489182,192.4849091,-0.053466626,0,0.206850229,1.508697169,0.041666667,-0.054822084,1.508697169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.487505879,0,0,0,-0.044625176,1.5
