date,P_atm,E_pot_OW,Ref.grass
15/01/1990 03:00,0,0,0
15/01/1990 04:00,0,0,0
15/01/1990 05:00,0,0,0
15/01/1990 06:00,0,0,0
15/01/1990 07:00,0,0,0
15/01/1990 08:00,0,0,0
15/01/1990 09:00,0,0.116747853,0.104858946
15/01/1990 10:00,0,0,0
15/01/1990 11:00,0,0,0
15/01/1990 12:00,0,0.260512072,0.233983071
15/01/1990 13:00,0,0,0
15/01/1990 14:00,0,0,0
15/01/1990 15:00,0,0.144944794,0.130184478
15/01/1990 16:00,0,0,0
15/01/1990 17:00,0,0,0
15/01/1990 18:00,0,0,0
15/01/1990 19:00,0,0,0
15/01/1990 20:00,0,0,0
15/01/1990 21:00,0,0,0
15/01/1990 22:00,0,0,0
15/01/1990 23:00,0,0,0
16/01/1990 00:00,0,0,0
16/01/1990 01:00,0,0,0
16/01/1990 02:00,0,0,0
16/01/1990 03:00,0,0,0
16/01/1990 04:00,0,0,0
16/01/1990 05:00,0,0,0
16/01/1990 06:00,0,0,0
16/01/1990 07:00,0,0,0
16/01/1990 08:00,0,0,0
16/01/1990 09:00,0,0.049438012,0.044403539
16/01/1990 10:00,0,0,0
16/01/1990 11:00,0,0,0
16/01/1990 12:00,0,0.135391191,0.121603757
16/01/1990 13:00,0,0,0
16/01/1990 14:00,0,0,0
16/01/1990 15:00,0,0.13454812,0.120846539
16/01/1990 16:00,0,0,0
16/01/1990 17:00,0,0,0
16/01/1990 18:00,0,0,0
16/01/1990 19:00,0,0,0
16/01/1990 20:00,0,0,0
16/01/1990 21:00,0,0,0
16/01/1990 22:00,0,0,0
16/01/1990 23:00,0,0,0
17/01/1990 00:00,0,0,0
17/01/1990 01:00,0,0,0
17/01/1990 02:00,0,0,0
17/01/1990 03:00,0,0,0
17/01/1990 04:00,0,0,0
17/01/1990 05:00,0,0,0
17/01/1990 06:00,0,0,0
17/01/1990 07:00,0,0,0
17/01/1990 08:00,0,0,0
17/01/1990 09:00,0,0.127889954,0.114866401
17/01/1990 10:00,0,0,0
17/01/1990 11:00,0,0,0
17/01/1990 12:00,0,0.221106654,0.198590467
17/01/1990 13:00,0,0,0
17/01/1990 14:00,0,0,0
17/01/1990 15:00,0,0.108145187,0.097132324
17/01/1990 16:00,0,0,0
17/01/1990 17:00,0,0,0
17/01/1990 18:00,0,0,0
17/01/1990 19:00,0,0,0
17/01/1990 20:00,0,0,0
17/01/1990 21:00,0,0,0
17/01/1990 22:00,0,0,0
17/01/1990 23:00,0,0,0
18/01/1990 00:00,0,0,0
18/01/1990 01:00,0,0,0
18/01/1990 02:00,0,0,0
18/01/1990 03:00,0,0,0
18/01/1990 04:00,0,0,0
18/01/1990 05:00,0,0,0
18/01/1990 06:00,0,0,0
18/01/1990 07:00,0,0,0
18/01/1990 08:00,0,0,0
18/01/1990 09:00,0,0.064130252,0.057599608
18/01/1990 10:00,0,0,0
18/01/1990 11:00,0,0,0
18/01/1990 12:00,0,0.230325854,0.206870838
18/01/1990 13:00,0,0,0
18/01/1990 14:00,0,0,0
18/01/1990 15:00,0,0.089142344,0.080064618
18/01/1990 16:00,0,0,0
18/01/1990 17:00,0,0,0
18/01/1990 18:00,0,0,0
18/01/1990 19:00,0,0,0
18/01/1990 20:00,0,0,0
18/01/1990 21:00,0,0,0
18/01/1990 22:00,0,0,0
18/01/1990 23:00,0,0,0
19/01/1990 00:00,0,0,0
