theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.4561734,193.4186046,193.4561734,193.3616957,193.458928,172.1842455,28.99427694,193.4670547,193.3616957,193.4561734
193.4542523,193.416777,193.4542523,193.3576154,193.457019,172.18337,28.99305991,193.4670827,193.3576154,193.4542523
193.4511672,193.4137683,193.4511672,193.3535436,193.4539282,172.1815867,28.99110548,193.4641409,193.3535436,193.4511672
193.4468834,193.4095615,193.4468834,193.3494663,193.4496387,172.1789773,28.98839729,193.4598295,193.3494663,193.4468834
193.4425948,193.4053499,193.4425948,193.3296428,193.4453444,172.1763654,28.98568463,193.4555142,193.3296428,193.4425948
193.4391075,193.4019388,193.4391075,193.3098063,193.4419018,172.2071132,28.9834748,193.4521682,193.3098063,193.4391075
193.4439006,193.4068027,193.4439006,193.2899566,193.4480198,172.2378611,28.98646346,193.4569356,193.2899566,193.4439006
193.4486454,193.4113525,193.4486454,193.2700937,193.4528864,172.1813871,28.98943105,193.4616555,193.2700937,193.4486454
193.4525835,193.4147511,193.4525835,193.2502178,193.4565547,172.1846451,28.99189226,193.4663667,193.2502178,193.4525835
193.4330732,193.3951268,193.4330732,193.2303289,193.4370565,172.1395285,28.94725807,193.446908,193.2303289,193.4330732
193.4135491,193.3754889,193.4135491,193.2104269,193.4175445,172.0944005,28.90260808,193.4274353,193.2104269,193.4135491
193.3940111,193.3558373,193.3940111,193.1905118,193.3980186,172.0492612,28.85794232,193.4079487,193.1905118,193.3940111
193.3744593,193.3361722,193.3744593,193.1705837,193.3784789,172.0041105,28.81326082,193.3884482,193.1705837,193.3744593
193.3548938,193.3164936,193.3548938,193.1506427,193.3589254,171.9589485,28.76856361,193.3689338,193.1506427,193.3548938
193.3952661,193.3567531,193.3952661,193.1906402,193.3993097,171.9737269,28.78380232,193.4093572,193.1906402,193.3952661
193.4216571,193.3843758,193.4216571,193.2524255,193.4256216,172.0102946,28.82082596,193.438521,193.2524255,193.4216571
193.4172956,193.3800857,193.4172956,193.2935921,193.4212522,172.0468511,28.85783398,193.4341115,193.2935921,193.4172956
193.4130879,193.3759546,193.4130879,193.2894259,193.4170364,172.0833964,28.89482643,193.4298692,193.2894259,193.4130879
193.4088882,193.3718313,193.4088882,193.2854812,193.4128285,172.1199306,28.93180332,193.4256349,193.2854812,193.4088882
193.4046971,193.3677164,193.4046971,193.2815437,193.4086293,172.155549,28.96170019,193.4214094,193.2815437,193.4046971
193.4005147,193.3636101,193.4005147,193.2776142,193.4044388,172.152898,28.95895643,193.4171925,193.2776142,193.4005147
193.3963409,193.3595122,193.3963409,193.2736928,193.4002569,172.1503794,28.95631462,193.4129844,193.2736928,193.3963409
193.3921756,193.3554227,193.3921756,193.2697794,193.3960836,172.147868,28.95367776,193.4087849,193.2697794,193.3921756
